1,6,6,6,1,6,1,7,1,4,2,0,1,1,1,0,0,0,0,0
5,0,5,5,5,0,4,4,9,2,3,9,9,0,9,9,9,1,0,0
5,4,0,5,4,5,5,5,4,2,3,0,9,1,9,9,3,0,1,9
3,9,2,7,6,4,8,0,2,1,0,2,9,0,9,0,9,0,1,2
9,3,5,5,8,5,7,4,4,2,0,1,2,0,2,2,9,0,9,0
9,4,8,7,3,9,4,9,4,4,9,0,9,1,0,2,9,1,0,9
6,4,4,7,4,5,4,5,6,6,9,1,9,9,2,9,2,0,9,3
7,3,5,7,9,4,4,5,4,4,9,0,0,0,9,9,9,0,0,9
2,9,0,7,3,5,4,8,8,5,9,1,9,0,2,3,1,0,0,0
4,4,5,9,4,7,6,3,4,4,1,0,1,0,9,1,0,1,1,2
8,7,7,7,7,7,7,8,7,8,0,0,0,0,0,0,0,0,0,0
8,7,7,8,7,7,7,7,8,8,0,0,0,0,0,0,0,0,0,0
7,8,8,8,7,7,7,7,7,8,0,0,3,0,3,2,3,2,2,0
7,8,7,7,7,8,8,7,8,7,0,1,3,4,4,0,0,1,1,0
8,7,8,8,8,7,8,8,8,8,0,0,2,2,3,1,0,5,1,0
7,7,8,7,8,7,8,7,7,7,0,1,5,3,2,1,0,2,3,0
7,7,7,7,8,8,8,8,8,8,0,1,6,5,1,2,2,6,3,0
7,8,7,8,8,7,8,7,8,7,0,1,3,2,2,0,5,6,4,0
8,8,7,8,8,7,8,7,8,7,0,0,0,0,0,0,0,0,0,0
7,7,7,8,7,7,8,8,8,7,0,0,0,0,0,0,0,0,0,0
