3,5,0,0,5,8,7,3,0,5,0,1,0,9,1,0,0,1,9,2
0,3,9,6,4,6,0,5,3,5,9,9,0,0,0,0,9,9,9,2
5,0,9,7,4,4,9,3,6,6,9,0,9,1,9,0,9,1,0,2
3,9,6,5,5,8,2,9,3,9,2,0,9,2,0,1,0,9,0,9
5,2,6,4,7,0,0,4,2,4,0,0,0,1,0,9,9,9,1,0
9,7,3,5,4,6,4,4,0,9,0,0,1,9,0,9,9,9,0,9
2,9,6,4,5,7,9,9,2,9,9,0,2,0,1,0,9,2,0,0
5,0,9,0,4,4,5,5,3,5,0,0,9,9,0,2,2,1,9,9
9,8,0,5,9,8,0,5,4,5,0,0,0,9,9,9,3,2,0,9
9,9,5,8,1,3,5,6,8,4,2,0,0,0,9,1,0,9,1,9
8,7,6,7,7,7,7,7,6,7,0,0,0,0,0,0,0,0,0,0
8,8,7,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
8,7,7,6,8,7,6,7,7,8,0,0,5,0,2,0,2,4,1,0
7,6,5,7,7,7,7,7,6,8,0,1,1,6,6,4,3,4,1,0
8,8,7,5,7,6,8,6,5,7,0,1,1,8,0,3,2,5,6,0
7,6,8,7,8,7,7,7,7,5,0,5,0,2,4,2,7,2,1,0
6,7,8,5,8,8,7,7,7,8,7,3,1,9,6,1,3,4,1,0
4,7,7,7,5,5,7,7,8,7,0,0,0,3,1,2,0,1,1,0
8,6,8,7,7,7,6,7,8,6,0,0,0,0,0,0,0,0,0,0
6,5,7,5,7,6,8,7,8,8,0,0,0,0,0,0,0,0,0,0
