5,9,6,3,7,7,9,4,4,5,2,9,0,9,2,9,0,9,0,0
3,6,6,4,4,3,0,4,6,8,0,9,0,0,9,9,1,1,1,9
5,4,7,8,5,4,6,9,4,4,3,2,0,2,0,2,9,9,0,9
6,3,8,0,1,2,6,9,4,5,0,1,0,9,0,9,9,2,9,0
4,0,4,1,4,8,5,0,5,6,9,2,2,0,1,1,2,9,1,9
5,6,0,5,7,5,0,7,6,8,0,0,9,9,0,9,9,0,9,0
5,0,2,4,3,3,1,9,9,6,2,9,9,0,9,0,9,0,9,9
4,9,0,4,5,6,2,4,5,0,9,9,2,9,2,2,0,9,0,9
5,4,7,4,9,0,8,9,4,5,0,1,0,2,9,1,0,0,0,2
3,5,6,7,0,0,4,4,4,2,0,0,0,9,1,0,0,0,0,9
7,6,8,8,8,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0
8,8,7,8,8,8,8,8,8,7,0,0,0,0,0,0,0,0,0,0
7,7,8,8,8,8,7,8,8,7,0,1,2,5,3,5,1,0,0,0
7,7,7,8,8,8,7,7,7,7,7,7,1,9,3,3,0,5,5,7
7,8,7,7,8,7,8,7,8,7,7,8,5,7,3,2,3,9,1,8
8,8,7,8,7,8,7,8,8,8,7,5,1,8,4,2,4,2,3,7
7,8,8,8,7,7,7,8,7,8,0,4,3,0,4,0,0,2,6,7
8,8,7,8,8,8,8,8,7,7,0,7,1,1,2,5,1,3,4,7
7,8,8,8,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0
7,7,8,7,7,8,7,7,8,8,0,0,0,0,0,0,0,0,0,0
